service_id,date,exception_type
45,20130415,1
45,20130416,1
45,20130417,1
45,20130418,1
45,20130419,1
45,20130420,1
45,20130422,1
45,20130423,1
45,20130424,1
45,20130425,1
45,20130426,1
45,20130427,1
45,20130429,1
45,20130430,1
45,20130501,1
45,20130502,1
45,20130503,1
45,20130504,1
45,20130506,1
45,20130507,1
45,20130508,1
45,20130509,1
45,20130510,1
45,20130511,1
45,20130513,1
45,20130514,1
45,20130515,1
45,20130516,1
45,20130517,1
45,20130518,1
45,20130520,1
45,20130521,1
45,20130522,1
45,20130523,1
45,20130524,1
45,20130525,1
45,20130527,1
45,20130528,1
45,20130529,1
45,20130530,1
45,20130531,1
45,20130601,1
45,20130603,1
45,20130604,1
45,20130605,1
45,20130606,1
45,20130607,1
45,20130608,1
45,20130610,1
45,20130611,1
45,20130612,1
45,20130613,1
45,20130614,1
45,20130615,1
45,20130617,1
45,20130618,1
45,20130619,1
45,20130620,1
45,20130621,1
45,20130622,1
45,20130624,1
45,20130625,1
45,20130626,1
45,20130627,1
45,20130628,1
45,20130629,1
45,20130508,2
45,20130509,2
45,20130401,2
45,20130520,2
45,20121221,2
45,20121027,2
45,20130223,2
45,20130420,2
45,20121029,2
45,20121030,2
45,20121031,2
45,20121101,2
45,20121102,2
45,20121103,2
45,20121105,2
45,20121106,2
45,20121107,2
45,20121108,2
45,20121109,2
45,20121110,2
45,20121224,2
45,20121225,2
45,20121226,2
45,20121227,2
45,20121228,2
45,20121229,2
45,20121231,2
45,20130101,2
45,20130102,2
45,20130103,2
45,20130104,2
45,20130105,2
45,20130225,2
45,20130226,2
45,20130227,2
45,20130228,2
45,20130301,2
45,20130302,2
45,20130304,2
45,20130305,2
45,20130306,2
45,20130307,2
45,20130308,2
45,20130309,2
45,20130422,2
45,20130423,2
45,20130424,2
45,20130425,2
45,20130426,2
45,20130427,2
45,20130429,2
45,20130430,2
45,20130501,2
45,20130502,2
45,20130503,2
45,20130504,2
43,20121224,1
43,20121225,1
43,20121226,1
43,20121227,1
43,20121228,1
43,20121229,1
43,20121231,1
43,20130101,1
43,20130102,1
43,20130103,1
43,20130104,1
43,20130105,1
43,20130225,1
43,20130226,1
43,20130227,1
43,20130228,1
43,20130301,1
43,20130302,1
43,20130304,1
43,20130305,1
43,20130306,1
43,20130307,1
43,20130308,1
43,20130309,1
43,20130422,1
43,20130423,1
43,20130424,1
43,20130425,1
43,20130426,1
43,20130427,1
43,20130429,1
43,20130430,1
43,20130501,1
43,20130502,1
43,20130503,1
43,20130504,1
43,20121101,2
43,20121225,2
43,20130101,2
43,20130501,2
6,20130511,1
6,20121024,1
6,20121219,1
6,20130220,1
6,20130417,1
46,20130501,2
46,20130508,2
26,20121217,1
26,20130405,1
26,20130524,1
20,20130401,2
20,20130520,2
29,20130427,2
29,20130504,2
24,20130501,2
24,20121101,2
24,20130508,2
24,20130509,2
24,20121225,2
24,20130101,2
27,20130508,2
27,20130509,2
27,20130223,2
27,20130420,2
27,20130401,2
27,20130520,2
27,20121029,2
27,20121030,2
27,20121031,2
27,20121101,2
27,20121103,2
27,20121105,2
27,20121106,2
27,20121107,2
27,20121108,2
27,20121110,2
27,20121224,2
27,20121225,2
27,20121226,2
27,20121227,2
27,20121229,2
27,20121231,2
27,20130101,2
27,20130102,2
27,20130103,2
27,20130105,2
27,20130225,2
27,20130226,2
27,20130227,2
27,20130228,2
27,20130302,2
27,20130304,2
27,20130305,2
27,20130306,2
27,20130307,2
27,20130309,2
27,20130422,2
27,20130423,2
27,20130424,2
27,20130425,2
27,20130427,2
27,20130429,2
27,20130430,2
27,20130501,2
27,20130502,2
27,20130504,2
50,20130509,2
50,20121221,2
50,20130223,2
50,20130420,2
50,20130401,2
50,20130520,2
50,20121029,2
50,20121030,2
50,20121101,2
50,20121102,2
50,20121103,2
50,20121105,2
50,20121106,2
50,20121108,2
50,20121109,2
50,20121110,2
50,20121224,2
50,20121225,2
50,20121227,2
50,20121228,2
50,20121229,2
50,20121231,2
50,20130101,2
50,20130103,2
50,20130104,2
50,20130105,2
50,20130225,2
50,20130226,2
50,20130228,2
50,20130301,2
50,20130302,2
50,20130304,2
50,20130305,2
50,20130307,2
50,20130308,2
50,20130309,2
50,20130422,2
50,20130423,2
50,20130425,2
50,20130426,2
50,20130427,2
50,20130429,2
50,20130430,2
50,20130502,2
50,20130503,2
50,20130504,2
51,20130507,1
51,20130517,1
51,20130524,1
51,20130531,1
51,20130607,1
51,20130614,1
51,20130621,1
51,20130628,1
51,20121102,2
51,20121109,2
51,20121221,2
51,20121228,2
51,20130104,2
