stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopPoint:LILNav2215,"Croix Morzelle Gare",,47.30461398,-1.84430457,,,0,StopArea:LIL1174
StopPoint:LILNav2393,"Gare SNCF",,47.35876477,-1.95059949,,,0,StopArea:LIL1271
StopPoint:LIL00749O,"Gare Routière",,47.36231478,-1.94512118,,,0,StopArea:LIL348
StopPoint:LIL11561O,"Centre",,47.35662708,-1.85876369,,,0,StopArea:LIL238
StopPoint:LIL11568O,"Croix Blanche",,47.35003701,-1.86513971,,,0,StopArea:LIL1062
StopPoint:LIL23637O,"Centre",,47.32985374,-1.79217453,,,0,StopArea:LIL358
StopPoint:LIL11789O,"La Bretonnière",,47.32632122,-1.78775953,,,0,StopArea:LIL1042
StopPoint:LIL11813O,"La Freuzière",,47.32029408,-1.76846324,,,0,StopArea:LIL1035
StopPoint:LIL11808O,"La Valinière",,47.32333102,-1.74885792,,,0,StopArea:LIL1039
StopPoint:LIL11800O,"Centre",,47.32732437,-1.73793171,,,0,StopArea:LIL379
StopPoint:LIL11806O,"La Croix-de-Pierre",,47.31898385,-1.73408613,,,0,StopArea:LIL1030
StopPoint:LIL11831O,"Le Bas-Vernay",,47.3138812,-1.7303787,,,0,StopArea:LIL1031
StopPoint:LIL11839O,"Moulin-malecot",,47.30887265,-1.72277251,,,0,StopArea:LIL1032
StopPoint:LIL25491O,"Gaudinière",,47.30125792,-1.71094776,,,0,StopArea:LIL1033
StopPoint:LIL11990O,"Golf",,47.2920398,-1.70396424,,,0,StopArea:LIL1034
StopPoint:LILNav2219,"La Bernardière",,47.28685724,-1.70546937,,,0,StopArea:LIL1188
StopPoint:LIL25489O,"La Trimossière",,47.28091365,-1.70739458,,,0,StopArea:LIL1040
StopPoint:LIL25492O,"Bel-Abord",,47.27486403,-1.71168857,,,0,StopArea:LIL1023
StopPoint:LIL25490O,"Naudières",,47.2698115,-1.69747039,,,0,StopArea:LIL1024
StopPoint:LIL22201O,"Centre",,47.2618441,-1.66976661,,,0,StopArea:LIL346
StopPoint:LILNav2338,"Val-du-Cens",,47.26135962,-1.66590309,,,0,StopArea:LIL1026
StopPoint:LILNav2340,"Moulin-brûlé",,47.2595157,-1.65475497,,,0,StopArea:LIL1029
StopPoint:LILNav2341,"Armoricaine",,47.25838908,-1.6480006,,,0,StopArea:LIL1028
StopPoint:LILNav1910,"Jules Rieffel",,47.25555287,-1.64261028,,,0,StopArea:LIL1025
StopPoint:LIL22207O,"Forum",,47.25099925,-1.61952393,,,0,StopArea:LIL101
StopPoint:LIL20818O,"Lycée Appert",,47.25095873,-1.61059506,,,0,StopArea:LIL223
StopPoint:LILNav2211,"Morlière",,47.24690177,-1.60336014,,,0,StopArea:LIL1168
StopPoint:LIL22211O,"Beauséjour",,47.23858441,-1.58753472,,,0,StopArea:LIL14
StopPoint:LILNav2212,"Sainte Thérèse",,47.23376028,-1.57445527,,,0,StopArea:LIL1167
StopPoint:LILNav2193,"Sainte Thérèse",,47.23376028,-1.57445527,,,0,StopArea:LIL1167
StopPoint:LIL22211N,"Beauséjour",,47.23858441,-1.58753472,,,0,StopArea:LIL14
StopPoint:LILNav2195,"Morlière",,47.24690177,-1.60336014,,,0,StopArea:LIL1168
StopPoint:LIL20818N,"Lycée Appert",,47.25095873,-1.61059506,,,0,StopArea:LIL223
StopPoint:LIL22207N,"Forum",,47.25099925,-1.61952393,,,0,StopArea:LIL101
StopPoint:LIL24780N,"Armoricaine",,47.25838908,-1.6480006,,,0,StopArea:LIL1028
StopPoint:LILtp13N,"Moulin-brûlé",,47.2595157,-1.65475497,,,0,StopArea:LIL1029
StopPoint:LILtp14N,"Val-du-Cens",,47.26135962,-1.66590309,,,0,StopArea:LIL1026
StopPoint:LIL22201N,"Centre",,47.2618441,-1.66976661,,,0,StopArea:LIL346
StopPoint:LIL11991N,"Naudières",,47.2698115,-1.69747039,,,0,StopArea:LIL1024
StopPoint:LIL12038N,"Bel-Abord",,47.27486403,-1.71168857,,,0,StopArea:LIL1023
StopPoint:LIL14751O,"La Trimossière",,47.28091365,-1.70739458,,,0,StopArea:LIL1040
StopPoint:LILNav2196,"La Bernardière",,47.28685724,-1.70546937,,,0,StopArea:LIL1188
StopPoint:LIL11990N,"Golf",,47.2920398,-1.70396424,,,0,StopArea:LIL1034
StopPoint:LIL12024N,"Gaudinière",,47.30125792,-1.71094776,,,0,StopArea:LIL1033
StopPoint:LIL11839N,"Moulin-malecot",,47.30887265,-1.72277251,,,0,StopArea:LIL1032
StopPoint:LIL11831N,"Le Bas-Vernay",,47.3138812,-1.7303787,,,0,StopArea:LIL1031
StopPoint:LIL11806N,"La Croix-de-Pierre",,47.31898385,-1.73408613,,,0,StopArea:LIL1030
StopPoint:LIL11800N,"Centre",,47.32732437,-1.73793171,,,0,StopArea:LIL379
StopPoint:LIL11808N,"La Valinière",,47.32333102,-1.74885792,,,0,StopArea:LIL1039
StopPoint:LIL11813N,"La Freuzière",,47.32029408,-1.76846324,,,0,StopArea:LIL1035
